"","id","speaker_id","transcript_id","gloss","part_of_speech","target_child_id"
"158",3775519,5482,9579,"but his alarm clock banged his head","conj det:poss n n v det:poss n",5482
"159",3775523,5482,9577,"and he was very very tired","coord pro:sub cop adv adv part",5482
"160",3775533,5482,9581,"and both of the kids looked at each_other","coord qn prep det:art n cop prep pro:refl",5482
"161",3775547,5482,9577,"and he was trying xxx he poured his cereal","coord pro:sub v det:poss n",5482
"162",3775549,5482,9579,"xxx","",5482
"163",3775555,5482,9578,"the mom order ordered a sal salad","det:art n v det:art n",5482
"164",3775561,5482,9580,"uhhuh","co",5482
"165",3775566,5482,9581,"and they said Mcdonalds","coord pro:sub v n:prop",5482
"166",3775570,5482,9580,"first he got up","adv pro:sub v adv",5482
"167",3775587,5482,9581,"xxx s okay","co",5482
"168",3775588,5482,9577,"and he was trying to um pour the milk","coord pro:sub aux part inf v det:art n",5482
"169",3775591,5482,9580,"then he got dressed","adv:tem pro:sub aux part",5482
"170",3775592,5482,9578,"and the price was two dollars and five cents","coord det:art n cop det:num n coord det:num n",5482
"171",3775605,5482,9581,"so the mother got them into the car","co det:art n v pro:obj prep det:art n",5482
"172",3775609,5482,9580,"then he ate breakfast","adv:tem pro:sub v n",5482
"173",3775620,5482,9577,"but it spilled all over the table","conj pro:per v adv prep det:art n",5482
"174",3775622,5482,9579,"the alarm clock ringed","det:art n n v",5482
"175",3775634,5482,9578,"and that's all I know","coord pro:dem pro:indef pro:sub v",5482
"176",3775636,5482,9580,"then he went to school","adv:tem pro:sub v prep n",5482
"177",3775644,5482,9581,"and they drove to Mcdonalds","coord pro:sub v prep n:prop",5482
"178",3775650,5482,9579,"and he bumped his head on the ceiling","coord pro:sub v det:poss n prep det:art n",5482
"179",3775652,5482,9577,"and he didn't clean it up","coord pro:sub mod v pro:per adv",5482
"180",3775660,5482,9578,"can I make up a name","mod pro:sub v prep det:art n",5482
"181",3775664,5482,9580,"and after that he got home","coord conj det:dem pro:sub v n",5482
"182",3775682,5482,9581,"um Lisa wasn't sure to get a Big_Mac or a Happy_Meal","n:prop cop adv inf v det:art n:prop coord det:art n:prop",5482
"183",3775684,5482,9577,"and looked at the clock","coord cop prep det:art n",5482
"184",3775693,5482,9579,"and then he was too bus too busy looking at the clock","coord adv:tem pro:sub cop adv adj part prep det:art n",5482
"185",3775708,5482,9580,"I mean t s he got to school","pro:sub v pro:sub v prep n",5482
"186",3775712,5482,9577,"and he knew he had to get his tennis+shoes on","coord pro:sub v pro:sub v inf v det:poss adv",5482
"187",3775736,5482,9581,"so when they went to the clerk the boy said I'll have a cheeseburger some fries and something like that","co conj pro:sub v prep det:art n det:art n v pro:sub v det:art qn n coord pro:indef prep pro:dem",5482
"188",3775737,5482,9578,"okay","co",5482
"189",3775744,5482,9580,"he his pro I he he hadded to walk to school","pro:sub v inf v prep n",5482
"190",3775752,5482,9577,"but the tennis+shoe laces broke","conj det:art v adj",5482
"191",3775755,5482,9579,"and he forgot about the milk and the cereal","coord pro:sub v prep det:art n coord det:art n",5482
"192",3775763,5482,9578,"nick was in bed","n cop prep n",5482
"193",3775777,5482,9577,"so that's why he can't tie his shoe","co pro:dem adv:int pro:sub mod v det:poss n",5482
"194",3775785,5482,9578,"and his alarm clock went off ou a went off too late","coord det:poss n n v adv adv adj",5482
"195",3775788,5482,9580,"and now he was there","coord adv pro:sub cop adv",5482
"196",3775801,5482,9579,"and then he was in a rush and tieing his shoe","coord adv:tem pro:sub cop prep det:art n coord part det:poss n",5482
"197",3775808,5482,9580,"okay once there were um one day uh there were um kids there","det:num n adv cop n adv",5482
"198",3775820,5482,9577,"so then he got his backpack on","adv adv:tem pro:sub v det:poss adv",5482
"199",3775828,5482,9581,"and uh the mother I don't remember what she","coord det:art n pro:sub mod v pro:int pro:sub",5482
"200",3775833,5482,9578,"so he rushed downstairs","co pro:sub v adv",5482
"201",3775848,5482,9578,"and he overflo flo overflowed the milk from his bowl","coord pro:sub v det:art n prep det:poss n",5482
"202",3775850,5482,9577,"and the schoolbus was waiting for him","coord det:art aux part prep pro:obj",5482
"203",3775863,5482,9579,"but it broke","conj pro:per adj",5482
"204",3775865,5482,9580,"and they were and then they they were outside","coord adv:tem pro:sub aux adv",5482
"205",3775881,5482,9579,"so he ran to so he ran there","co pro:sub v adv",5482
"206",3775885,5482,9581,"and Lisa said I'll have some fries a Happy_Meal and a coke","coord n:prop v pro:sub v qn n det:art n:prop coord det:art n",5482
"207",3775889,5482,9578,"and when he was done with his cereal he uh he went to go get his clothes on","coord conj pro:sub aux part prep det:poss n pro:sub v inf v v det:poss n:pt adv",5482
"208",3775896,5482,9580,"and they saw this really really","coord pro:sub v pro:dem adv",5482
"209",3775904,5482,9577,"but the schoolbus left","conj det:art v",5482
"210",3775922,5482,9577,"and he's like wait up wait up","coord pro:sub co v adv v adv",5482
"211",3775927,5482,9579,"and he went to the bus but it missed","coord pro:sub v prep det:art n conj pro:per v",5482
"212",3775929,5482,9580,"um the they look like the opi octopus","pro:sub cop conj det:art n",5482
"213",3775936,5482,9581,"so um the clerk said that would be twelve dollars and fifty cents","co det:art n v pro:rel mod cop det:num n coord det:num n",5482
"214",3775955,5482,9577,"and it looks like the principal is standing outside saying you are late","coord pro:per cop prep det:art n aux part adv part pro:per cop adj",5482
"215",3775966,5482,9580,"but they're not but see um","conj pro:sub neg",5482
"216",3775969,5482,9578,"and when he was tying his shoes the string b broke","coord conj pro:sub aux part det:poss n det:art n adj",5482
"217",3775977,5482,9579,"and the teacher said that you are that you are late for school","coord det:art n v pro:rel pro:per cop adj prep n",5482
"218",3775987,5482,9581,"so then mother reached into her purse to get out her wallet","co adv:tem n v prep det:poss n inf v adv det:poss n",5482
"219",3775996,5482,9580,"they look like op uh","pro:sub co co",5482
"220",3776005,5482,9577,"and he's walking up there frowning","coord pro:sub part adv adv part",5482
"221",3776017,5482,9580,"because um they were on this really really um","conj pro:sub cop prep pro:dem adv",5482
"222",3776020,5482,9578,"by the time he was out and ready the schoolbus had left his house","prep det:art n pro:sub aux adv coord v det:art v adj det:poss n",5482
"223",3776035,5482,9581,"but she realized that she left her wall her wallet at home on the kitchen table or was it her purse whatever","conj pro:sub v pro:rel pro:sub adj det:poss n prep n prep det:art n n coord cop pro:per det:poss n pro:int",5482
"224",3776036,5482,9579,"once there was two people walking to the park a boy and a girl","adv adv cop det:num n part prep det:art n det:art n coord det:art n",5482
"225",3776052,5482,9580,"they were at the astronaut or s or an airplane","pro:sub cop prep det:art n",5482
"226",3776073,5482,9578,"and when he got to school the principal was very mad at him because he was late","coord conj pro:sub v prep n det:art n aux adv adj prep pro:obj conj pro:sub cop adj",5482
"227",3776077,5482,9577,"he might um miss some school work or get in trouble or xxx give his mom a call","pro:sub mod v qn n n coord v prep n coord v det:poss n det:art n",5482
"228",3776081,5482,9579,"when they were walking a ship came down and landed","conj pro:sub aux part det:art n v adv coord v",5482
"229",3776099,5482,9580,"so uh so then then the there was a goat","adv adv adv:tem adv cop det:art n",5482
"230",3776132,5482,9581,"okay um all right this is kinda silly but one day a kid who um Alexander woke up ou out of bed late because his alarm cl clock was broken","det:num n n:prop v adv adv prep n adj conj det:poss n n aux part",5482
"231",3776136,5482,9578,"Nicky and and his sister w were riding on a trail","n:prop coord det:poss n aux part prep det:art n",5482
"232",3776138,5482,9579,"and it opened","coord pro:per v",5482
"233",3776140,5482,9577,"well um there th these um octopus","co adv pro:dem n",5482
"234",3776148,5482,9580,"and the the kid hold that the leash","coord det:art n n det:art n",5482
"235",3776152,5482,9579,"and they were right behind the bush because they were scared","coord pro:sub aux adv prep det:art n conj pro:sub aux part",5482
"236",3776177,5482,9580,"and s s smi and they were all smiling a but him","coord pro:sub aux post part conj pro:obj",5482
"237",3776179,5482,9577,"they look like alien","pro:sub cop co n",5482
"238",3776188,5482,9578,"and they saw a spaceship","coord pro:sub v det:art",5482
"239",3776193,5482,9579,"and the girl wanted to go away and say hi to them","coord det:art n v inf v adv coord v co prep pro:obj",5482
"240",3776200,5482,9577,"and they just arrived from their special ship","coord pro:sub adv part prep det:poss adj n",5482
"241",3776210,5482,9578,"and they and they saw aliens coming out of it","coord pro:sub v n part adv prep pro:per",5482
"242",3776219,5482,9580,"then the kids were acting really those kids were um really acting really probably rude or something","adv:tem pro:dem n aux part adv adj coord pro:indef",5482
"243",3776233,5482,9577,"and this guy's like no no what are you doing","coord pro:dem n co qn qn pro:int aux pro:per part",5482
"244",3776237,5482,9579,"but he was too scared to ask","conj pro:sub cop adv part inf v",5482
"245",3776241,5482,9581,"so he didn't really get much breakfast","co pro:sub mod adv v qn n",5482
"246",3776243,5482,9578,"and and so his sister starting running to the aliens","co det:poss n part part prep det:art n",5482
"247",3776269,5482,9577,"but the it looks like the mom wants to go meet them","conj det:art pro:per cop prep det:art n v inf v v pro:obj",5482
"248",3776278,5482,9578,"and Nicky s tried stopping her","coord n:prop v part pro:obj",5482
"249",3776284,5482,9579,"and then then when they looked at them they got on the ship","adv:tem conj pro:sub cop prep pro:obj pro:sub v prep det:art n",5482
"250",3776285,5482,9581,"which wasn't a help at all","pro:rel cop det:art n prep pro:indef",5482
"251",3776290,5482,9580,"and so uh then they were um they w they got back","coord adv adv:tem pro:sub aux pro:sub v n",5482
"252",3776313,5482,9578,"but she couldn't stop","conj pro:sub mod v",5482
"253",3776317,5482,9581,"he was very frustrated because he was always getting late","pro:sub cop adv part conj pro:sub cop adv n:gerund adj",5482
"254",3776330,5482,9577,"and the lady's hi waving and stuff","coord det:art n co part coord n",5482
"255",3776333,5482,9578,"so she kept running","co pro:sub v n:gerund",5482
"256",3776335,5482,9580,"and so uh so um hm so they um the the girl did the that girl did this","coord pro:dem n v pro:dem",5482
"257",3776343,5482,9579,"and they ran","coord pro:sub v",5482
"258",3776359,5482,9578,"and the aliens started waving at her","coord det:art n v n:gerund prep pro:obj",5482
"259",3776362,5482,9579,"and they were aliens","coord pro:sub cop n",5482
"260",3776363,5482,9581,"for instance his sh shoelace ripping off","conj n det:poss part adv",5482
"261",3776364,5482,9577,"and it's like a spaceship","coord pro:per conj det:art",5482
"262",3776378,5482,9579,"and then they just xxx","coord adv:tem pro:sub adv",5482
"263",3776382,5482,9578,"and s and his sister thought the spaceship was going to Lisa who was going to get on it","coord det:poss n v det:art aux part prep n:prop pro:rel aux part inf v prep pro:per",5482
"264",3776386,5482,9577,"and it looks like they're they're from outerspace","coord pro:per cop conj pro:sub prep",5482
"265",3776391,5482,9581,"so that made him so late that he ended up missing his bus","adv pro:rel v pro:obj adv adj pro:rel pro:sub v adv part det:poss n",5482
"266",3776409,5482,9580,"and the little kid did was smi was was looking like they said hi to the goat","coord det:art adj n aux part conj pro:sub v co prep det:art n",5482
"267",3776416,5482,9577,"and they look like they're just going to move here","coord pro:sub cop conj pro:sub adv part prep n adv",5482
"268",3776438,5482,9579,"then maybe then then maybe um maybe they might just take a picture of them","adv pro:sub mod adv v det:art n prep pro:obj",5482
"269",3776439,5482,9581,"and um th when he got to the school the principal says your late mister","coord conj pro:sub v prep det:art n det:art n v det:poss adj n",5482
"270",3776450,5482,9578,"and Nicky was going to have to go home run home and tell his dad and mom that is that Melissa went on a spaceship that had aliens on it","coord n:prop aux part inf v inf v n coord v det:poss n coord n pro:rel n:prop v prep det:art pro:rel v n prep pro:per",5482
"271",3776451,5482,9577,"and they have a dog","coord pro:sub v det:art n",5482
"272",3776467,5482,9580,"so um","co",5482
"273",3776490,5482,9577,"and it's a sunny day","coord pro:per det:art adj n",5482
"274",3776496,5482,9579,"and maybe then they tell their parents about it","coord adv adv:tem pro:sub v det:poss n prep pro:per",5482
"275",3776502,5482,9581,"I know","pro:sub v",5482
"276",3776528,5482,9582,"hm I guess it was one tuesday I guess that's what you said","co pro:sub v pro:per cop det:num n pro:sub n pro:rel pro:int pro:per v",5482
